"Male","Female","score","url"
"2007","2007","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-2007.html"
"2007","2006","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-2006.html"
"2007","2005","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-2005.html"
"2007","2004","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-2004.html"
"2007","2003","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-2003.html"
"2007","2002","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-2002.html"
"2007","2001","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-2001.html"
"2007","2000","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-2000.html"
"2007","1999","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1999.html"
"2007","1998","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1998.html"
"2007","1997","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1997.html"
"2007","1996","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1996.html"
"2007","1995","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1995.html"
"2007","1994","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1994.html"
"2007","1993","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1993.html"
"2007","1992","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1992.html"
"2007","1991","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1991.html"
"2007","1990","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1990.html"
"2007","1989","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1989.html"
"2007","1988","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1988.html"
"2007","1987","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1987.html"
"2007","1986","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1986.html"
"2007","1985","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1985.html"
"2007","1984","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1984.html"
"2007","1983","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1983.html"
"2007","1982","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1982.html"
"2007","1981","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1981.html"
"2007","1980","1","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1980.html"
"2007","1979","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1979.html"
"2007","1978","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1978.html"
"2007","1977","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1977.html"
"2007","1976","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1976.html"
"2007","1975","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1975.html"
"2007","1974","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1974.html"
"2007","1973","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1973.html"
"2007","1972","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1972.html"
"2007","1971","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1971.html"
"2007","1970","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1970.html"
"2007","1969","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1969.html"
"2007","1968","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1968.html"
"2007","1967","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1967.html"
"2007","1966","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1966.html"
"2007","1965","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1965.html"
"2007","1964","9","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1964.html"
"2007","1963","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1963.html"
"2007","1962","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1962.html"
"2007","1961","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1961.html"
"2007","1960","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1960.html"
"2007","1959","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1959.html"
"2007","1958","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1958.html"
"2007","1957","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1957.html"
"2007","1956","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1956.html"
"2007","1955","10","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1955.html"
"2007","1954","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1954.html"
"2007","1953","0","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1953.html"
"2007","1952","1","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1952.html"
"2007","1951","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2007-hop-tuoi-1951.html"
"2006","2007","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-2007.html"
"2006","2006","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-2006.html"
"2006","2005","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-2005.html"
"2006","2004","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-2004.html"
"2006","2003","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-2003.html"
"2006","2002","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-2002.html"
"2006","2001","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-2001.html"
"2006","2000","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-2000.html"
"2006","1999","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1999.html"
"2006","1998","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1998.html"
"2006","1997","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1997.html"
"2006","1996","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1996.html"
"2006","1995","9","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1995.html"
"2006","1994","9","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1994.html"
"2006","1993","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1993.html"
"2006","1992","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1992.html"
"2006","1991","1","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1991.html"
"2006","1990","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1990.html"
"2006","1989","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1989.html"
"2006","1988","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1988.html"
"2006","1987","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1987.html"
"2006","1986","9","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1986.html"
"2006","1985","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1985.html"
"2006","1984","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1984.html"
"2006","1983","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1983.html"
"2006","1982","1","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1982.html"
"2006","1981","0","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1981.html"
"2006","1980","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1980.html"
"2006","1979","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1979.html"
"2006","1978","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1978.html"
