ID,Số con gái,Số con trai,Tổng,Sống cùng,Không sống cùng
127943,0,0,0,0,0
128418,0,0,0,0,0
128304,0,0,0,0,0
129898,0,0,2,0,2
133794,0,0,2,0,2
133986,0,0,3,0,0
124255,0,0,0,0,0
125069,2,0,2,2,0
128995,0,0,0,0,0
133658,0,0,0,0,0
122371,0,0,0,0,0
132507,0,0,0,0,0
127832,2,0,2,2,0
123555,0,0,0,0,0
128108,0,0,0,0,0
107871,1,0,1,1,0
124273,0,0,0,0,0
134005,0,0,0,0,0
123791,1,1,2,0,2
128606,0,0,0,0,0
126288,0,0,0,0,0
125569,0,0,0,0,0
124355,0,0,0,0,0
131268,0,0,0,0,0
128295,0,0,0,0,0
3560,0,0,1,0,1
129586,0,0,0,0,0
127567,0,2,2,0,0
108303,0,0,0,0,0
127412,0,0,0,0,0
133778,0,2,2,1,1
132314,0,0,1,0,1
129018,0,0,0,0,0
832,0,0,1,0,1
102759,0,0,0,0,0
130173,0,0,0,0,0
130521,0,0,2,0,2
122370,0,0,0,0,0
66034,0,0,0,0,0
125121,0,0,0,0,0
131117,0,0,4,0,4
126876,0,0,0,0,0
108573,0,0,0,0,0
132475,1,1,2,0,0
128706,0,0,0,0,0
125474,0,0,1,0,1
124059,0,0,0,0,0
121398,0,0,0,0,0
127610,0,2,2,0,0
124599,0,0,0,0,0
127259,0,0,0,0,0
128910,0,0,0,0,0
128514,0,0,0,0,0
131338,0,0,0,0,0
121437,0,0,1,1,0
112736,0,0,0,0,0
109737,0,0,0,0,0
131959,1,0,1,1,0
133932,0,0,0,0,0
9615,0,0,0,0,0
123239,0,0,0,0,0
130439,0,0,0,0,0
129128,0,0,0,0,0
127982,0,0,0,0,0
121580,0,0,0,0,0
124918,0,0,0,0,0
126220,0,0,0,0,0
133066,0,0,0,0,0
124911,0,0,0,0,0
127114,0,1,1,1,0
9464,0,0,0,0,0
132513,0,0,0,0,0
122446,0,0,0,0,0
132805,0,0,0,0,0
126344,0,0,1,1,0
126037,0,0,0,0,0
131689,0,0,1,1,0
127945,3,0,3,3,0
127508,0,0,0,0,0
132941,0,0,0,0,0
122658,0,0,0,0,0
128791,0,0,0,0,0
124915,0,0,0,0,0
134150,0,0,0,0,0
131702,0,0,2,2,0
129637,0,0,0,0,0
109155,0,0,0,0,0
122769,0,0,0,0,0
124692,0,0,0,0,0
132479,0,0,1,0,0
125072,0,0,0,0,0
126885,0,0,1,0,1
122516,0,0,0,0,0
112854,0,0,0,0,0
122908,0,1,1,1,0
128473,0,0,0,0,0
52687,0,1,1,0,1
124876,1,1,2,0,2
129381,0,0,0,0,0
120156,0,0,0,0,0
120597,0,0,0,0,0
98817,0,0,0,0,0
122098,0,0,0,0,0
133417,0,0,0,0,0
128537,0,0,0,0,0
120417,0,0,0,0,0
122474,0,0,0,0,0
124708,0,0,0,0,0
125296,0,0,0,0,0
130420,0,0,0,0,0
64316,0,0,0,0,0
122449,0,0,0,0,0
123379,0,0,0,0,0
127498,0,0,0,0,0
