id,education
127943,Dưới đại học
128418,Trên đại học
128304,Trên đại học
129898,Trên đại học
133794,Đại học
133986,Dưới đại học
124255,Đại học
125069,Trên đại học
128995,Đại học
133658,Dưới đại học
122371,Đại học
132507,Trên đại học
127832,Đại học
123555,Đại học
128108,Đại học
107871,Đại học
124273,Đại học
134005,Dưới đại học
123791,Đại học
128606,Đại học
126288,Đại học
125569,Đại học
124355,Đại học
131268,Trên đại học
128295,Trên đại học
3560,Đại học
129586,Dưới đại học
127567,Trên đại học
108303,Đại học
127412,Đại học
133778,Đại học
132314,Trên đại học
129018,Đại học
832,Đại học
102759,Đại học
130173,Đại học
130521,Đại học
122370,Dưới đại học
66034,Đại học
125121,Trên đại học
131117,Dưới đại học
126876,Đại học
108573,Dưới đại học
132475,Đại học
128706,Trên đại học
125474,Đại học
124059,Đại học
121398,Trên đại học
127610,Đại học
124599,Đại học
127259,Đại học
128910,Đại học
128514,Đại học
131338,Dưới đại học
121437,Đại học
112736,Đại học
109737,Du học
131959,Đại học
133932,Trên đại học
9615,Đại học
123239,Đại học
130439,Đại học
129128,Đại học
127982,Đại học
121580,Đại học
124918,Đại học
126220,Đại học
133066,Đại học
124911,Trên đại học
127114,Đại học
9464,Đại học
132513,Đại học
122446,Đại học
132805,Dưới đại học
126344,Đại học
126037,Đại học
131689,Đại học
127945,Đại học
127508,Trên đại học
132941,Đại học
122658,Đại học
128791,Đại học
124915,Trên đại học
134150,Đại học
131702,Đại học
129637,Đại học
109155,Đại học
122769,Đại học
124692,Đại học
132479,Đại học
125072,Đại học
126885,Đại học
122516,Đại học
112854,Đại học
122908,Đại học
128473,Đại học
52687,Đại học
124876,Đại học
129381,Trên đại học
120156,Trên đại học
120597,
98817,Trên đại học
122098,Trên đại học
133417,Trên đại học
128537,Đại học
120417,Dưới đại học
122474,Đại học
124708,Du học
125296,Đại học
130420,Dưới đại học
64316,Đại học
122449,Trên đại học
123379,Đại học
127498,Đại học
133270,Dưới đại học
127320,Đại học
121002,Dưới đại học
128012,Trên đại học
127063,Đại học
134067,Đại học
128345,Đại học
124155,Đại học
124484,Đại học
124572,Đại học
4378,Dưới đại học
131289,Dưới đại học
116303,Đại học
93753,Đại học
121807,Đại học
101622,Dưới đại học
103704,Đại học
124901,Đại học
109029,Đại học
102583,Dưới đại học
118458,Đại học
61704,Đại học
123789,Dưới đại học
125210,Trên đại học
133588,Dưới đại học
110285,Đại học
119633,Đại học
102587,Đại học
100246,Đại học
106895,Đại học
125890,Đại học
9472,Đại học
5267,Đại học
134531,Đại học
104948,Đại học
119660,Đại học
127233,Đại học
65878,Đại học
109601,Trên đại học
112101,Đại học
132827,Đại học
131923,Đại học
128567,Dưới đại học
117830,Đại học
121575,Trên đại học
127260,Đại học
122825,Đại học
110532,Đại học
127752,Đại học
124799,Đại học
124967,Đại học
124298,Đại học
121666,Đại học
104012,Đại học
131368,Đại học
103640,Dưới đại học
67702,Đại học
118163,Đại học
100313,Đại học
103102,Đại học
124941,Du học
125512,Đại học
117430,Đại học
123532,Đại học
3712,Đại học
101732,Đại học
1329,Đại học
108885,Dưới đại học
108404,Đại học
122736,Dưới đại học
62530,Đại học
102288,Dưới đại học
8523,Trên đại học
124927,Đại học
9750,Đại học
129383,Đại học
2746,Đại học
4792,Đại học
67603,Đại học
108489,Đại học
125001,Đại học
103783,Trên đại học
126785,Đại học
108629,Đại học
124004,Đại học
102104,Đại học
55461,Đại học
127422,Dưới đại học
107938,Đại học
112414,Đại học
113437,Đại học
124354,Đại học
124437,Đại học
123688,Đại học
130685,Đại học
33568,Dưới đại học
130034,Đại học
125277,Trên đại học
53169,Đại học
112434,Đại học
121706,Đại học
66695,Đại học
108493,Đại học
105848,Đại học
130273,
127802,Đại học
122113,Trên đại học
125554,Đại học
120478,Đại học
116264,Đại học
128689,Dưới đại học
4738,Trên đại học
108734,Đại học
119694,Đại học
81018,Đại học
93807,Dưới đại học
111070,Đại học
108622,Đại học
5788,Dưới đại học
2527,Đại học
99539,Đại học
108420,Dưới đại học
27184,Đại học
98,Trên đại học
127484,Đại học
53758,Đại học
116276,Đại học
39077,Đại học
54025,Đại học
159,Trên đại học
104057,Đại học
110103,Đại học
124775,Đại học
55500,Đại học
132136,Đại học
112642,Đại học
106040,
123241,Đại học
113696,Dưới đại học
8354,
93688,
111060,Đại học
134316,Dưới đại học
117748,Trên đại học
100720,Đại học
79531,Đại học
47288,Trên đại học
121455,Đại học
99342,Dưới đại học
114985,Đại học
123774,Đại học
117130,Đại học
61229,Đại học
15520,Đại học
102916,Dưới đại học
